domain,mean,median,max,count
arxiv,0.2233761546245337,0.2273998650335451,0.4309992066275076,18942
book,0.2745251224054523,0.27317642883413723,0.43651737970951804,171
c4,0.4214705468282844,0.4325951900544368,0.6322395701751555,10000
commoncrawl,0.32429136791414126,0.33218097702486193,0.5692017081817542,9636
github,0.12375368277105776,0.12279842474558,0.47123065553188703,213751
stackexchange,0.18036861276669153,0.1837795643801256,0.479025698872804,10000
wikipedia,0.16634221557534337,0.1671245713286465,0.4101850870458537,9986
