N,D,Q,L,C_train,C_Q,C_attn,C_total,C,L_ctx,budget,form,s_train,s_attn
0.3041283594676822,4.200156599962853,0.5783781570691117,3.2768567382836404,7.664320417524362e+18,1.8124619753059756e+18,5.232176071696632e+17,1e+19,1e+19,2048,1e+19,power,0.7664320417524362,0.05232176071696632
0.2955690681423217,4.052451271386975,0.583623510630008,3.2899187444570246,7.18667547585609e+18,1.8321037658403597e+18,9.812207583035515e+17,1e+19,1e+19,4096,1e+19,power,0.718667547585609,0.09812207583035515
0.28042517989145005,3.7973561438249526,0.5932698892903178,3.3141150027588324,6.389245678464093e+18,1.8660643016033103e+18,1.744690019932595e+18,9.999999999999998e+18,1e+19,8192,1e+19,power,0.6389245678464095,0.17446900199325954
0.22665008231548356,2.948941435268516,0.632306525998715,3.414128881814603,4.0102669142828964e+18,1.9794661714342067e+18,4.0102669142828974e+18,1e+19,1e+19,30000,1e+19,power,0.4010266914282896,0.4010266914282897
0.2218245143462458,2.8767377322228236,0.6362677482958486,3.424449037894399,3.82878570211109e+18,1.9891593016630372e+18,4.1820549962258734e+18,1e+19,1e+19,32768,1e+19,power,0.382878570211109,0.41820549962258735
0.14034926268965434,1.7375885040305414,0.7224181378219328,3.655219851461463,1.4632155923922358e+18,2.1438979367399273e+18,6.392886470867838e+18,1e+19,1e+19,131072,1e+19,power,0.14632155923922358,0.6392886470867838
10.324525313524974,140.74976211844796,1.0,2.0980469842019356,8.719046891187207e+21,6.857328410410785e+20,5.952202677717134e+20,9.999999999999998e+21,1e+22,2048,1e+22,power,0.8719046891187209,0.059522026777171354
9.973033012851232,137.21165417951138,1.0,2.1028963427602365,8.210498141281164e+21,6.684951791625795e+20,1.1210066795562549e+21,9.999999999999998e+21,1e+22,4096,1e+22,power,0.8210498141281165,0.11210066795562551
9.361261146310992,130.92937034314193,1.0,2.1119007289964467,7.353984165025303e+21,6.378878923117874e+20,2.0081279426629099e+21,1e+22,1e+22,8192,1e+22,power,0.7353984165025303,0.20081279426629098
7.2869252675384395,108.32463651372248,0.9999999999999997,2.1493817792097274,4.736121185452568e+21,5.2775762909485525e+20,4.736121185452569e+21,9.999999999999992e+21,1e+22,30000,1e+22,power,0.4736121185452572,0.4736121185452573
7.107853446280757,106.26862800082671,1.0,2.153270791996227,4.5320510026032234e+21,5.177407556200277e+20,4.950208241776747e+21,9.999999999999998e+21,1e+22,32768,1e+22,power,0.45320510026032246,0.4950208241776748
4.245539425302,70.60177159946058,1.0,2.241043651943821,1.7984556289300614e+21,3.439718312325719e+20,7.857572539837367e+21,1e+22,1e+22,131072,1e+22,power,0.17984556289300616,0.7857572539837367
107.19511328304691,1445.1915482124334,1.0,1.825783073577443,9.295048303580025e+23,7.040973222890976e+21,6.34541964191063e+22,9.999999999999998e+23,1e+24,2048,1e+24,power,0.9295048303580027,0.06345419641910631
103.74469328015586,1403.8480353704686,1.0,1.8282927930397637,8.738507030487518e+23,6.839547628324923e+21,1.1930974932292292e+23,9.999999999999996e+23,1e+24,4096,1e+24,power,0.8738507030487521,0.11930974932292297
97.71269032208647,1331.1314400322024,1.0,1.8329493869697095,7.804106050671576e+23,6.48527237583689e+21,2.131041225570052e+23,9.999999999999997e+23,1e+24,8192,1e+24,power,0.7804106050671579,0.21310412255700528
76.99321679291342,1076.6689481664516,1.0,1.8522889086067933,4.97377234442266e+23,5.245531115466953e+21,4.9737723444226606e+23,9.99999999999999e+23,1e+24,30000,1e+24,power,0.49737723444226645,0.49737723444226656
75.18407605308091,1054.0708659585182,0.9999999999999999,1.854291956312264,4.754960649093725e+23,5.135433258949898e+21,5.1936850183167736e+23,9.999999999999997e+23,1e+24,32768,1e+24,power,0.47549606490937263,0.5193685018316775
45.770000541756716,675.98393099278,1.0,1.8993613147430315,1.8563870932655025e+23,3.2933937117968235e+21,8.110678969616529e+23,1e+24,1e+24,131072,1e+24,power,0.18563870932655024,0.8110678969616529
