,sample_only,all_records
arxiv,0.4809551808807936,0.48553563513108117
book,0.6310737918003736,0.6310737918003736
c4,0.4292424183605974,0.4292424183605974
commoncrawl,0.40797509222071326,0.40797509222071326
github,0.38631031802881427,0.38589101913022755
stackexchange,0.3390263651998259,0.3390263651998259
wikipedia,0.364512402480831,0.364512402480831
