N,D,Q,L,C_train,C_Q,C_attn,C_total,C,form,s_train,s_Q,s_attn
0.020973236098437237,0.6991995275617708,0.4,4.805843293169472,8.798686062881277e+16,0.0,1.2013139371187238e+16,1e+17,1e+17,exp,0.8798686062881277,0.0,0.12013139371187238
0.022263090907612068,0.7390624073068263,0.4,4.754961345542365,9.872288136162294e+16,0.0,1.3478964068573586e+16,1.1220184543019653e+17,1.1220184543019653e+17,exp,0.8798686062881277,0.0,0.12013139371187237
0.023632034987784507,0.7812057856130554,0.4,4.704926605886451,1.1076889474960445e+17,0.0,1.512364642981266e+16,1.258925411794171e+17,1.2589254117941714e+17,exp,0.8798686062881277,0.0,0.12013139371187236
0.025084900878336997,0.8257606483044282,0.4,4.655724828299365,1.2428474407168728e+17,0.0,1.6969010390587704e+16,1.4125375446227498e+17,1.4125375446227498e+17,exp,0.8798686062881277,0.0,0.12013139371187237
0.026626811257431982,0.8728656684197523,0.4,4.607342006728087,1.3944977643662973e+17,0.0,1.903954280948118e+16,1.584893192461109e+17,1.584893192461111e+17,exp,0.8798686062881276,0.0,0.12013139371187237
0.02826320444614697,0.9226673907902213,0.4,4.559764370929521,1.5646522261018205e+17,0.0,2.1362718393710188e+16,1.7782794100389222e+17,1.778279410038923e+17,exp,0.8798686062881277,0.0,0.12013139371187237
0.029999849112676474,0.975320834479951,0.4000000000000001,4.512978382499081,1.755568672250894e+17,0.0,2.3969364271798876e+16,1.995262314968883e+17,1.995262314968883e+17,exp,0.8798686062881276,0.0,0.12013139371187237
0.031842858419124875,1.030990173753187,0.4,4.46697073096616,1.9697804480599014e+17,0.0,2.6894069050844524e+16,2.2387211385683466e+17,2.238721138568347e+17,exp,0.8798686062881277,0.0,0.12013139371187238
0.03379872274695783,1.089848882847363,0.4,4.42172832995537,2.210130013646385e+17,0.0,3.0175641786318644e+16,2.5118864315095715e+17,2.511886431509572e+17,exp,0.8798686062881276,0.0,0.12013139371187236
0.03587431869473141,1.152080723269636,0.4000000000000001,4.3772383134124,2.479806661717895e+17,0.0,3.385762695465499e+16,2.8183829312644448e+17,2.8183829312644493e+17,exp,0.8798686062881277,0.0,0.12013139371187236
0.03807695630385096,1.2178795732101066,0.4,4.333488031893481,2.7823888375484333e+17,0.0,3.7988882261994616e+16,3.1622776601683795e+17,3.1622776601683795e+17,exp,0.8798686062881276,0.0,0.12013139371187238
0.04041437360563906,1.287451032989879,0.4,4.290465048917291,3.121891622773135e+17,0.0,4.2624226956262536e+16,3.54813389233576e+17,3.5481338923357606e+17,exp,0.8798686062881277,0.0,0.12013139371187237
0.04289477401034363,1.3610127316976104,0.4,4.24815713737832,3.502820013082167e+17,0.0,4.782516924528186e+16,3.9810717055349856e+17,3.9810717055349856e+17,exp,0.8798686062881277,0.0,0.12013139371187237
0.0455268797810902,1.4387942228394817,0.4,4.206552276020647,3.930228696776411e+17,0.0,5.36607224733206e+16,4.4668359215096166e+17,4.4668359215096166e+17,exp,0.8798686062881277,0.0,0.12013139371187237
