domain,n,Q_weighted,Q_resolved,Q_topsis,Q_weighted_plain,conflict_mean
book,171,0.6310737918003736,0.5627924903988875,0.6850789310947618,0.6371857268802438,0.2745251224054523
arxiv,18942,0.48553563513108117,0.48741014210643624,0.47368475618317807,0.4853488394453568,0.22337615462453364
c4,10000,0.4292424183605974,0.5670869264648892,0.31380973798364553,0.4307089351260518,0.4214705468282844
commoncrawl,9640,0.40797509222071326,0.5345644763282038,0.3071091799190977,0.41257370983136904,0.3242913679141413
github,213752,0.38589101913022755,0.522182826855472,0.2754586358706218,0.3886255764281923,0.12375368277105776
wikipedia,10000,0.364512402480831,0.4979657700343437,0.25477328093817103,0.3717973336195704,0.16634221557534334
stackexchange,10000,0.3390263651998259,0.44715496737560173,0.25078092939054836,0.34563521158418553,0.18036861276669156
