,n,conflict_mean,conflict_p90,Q_mean
sample,51230.0,0.2425105960695609,0.4429214307011538,0.3931548198221783
arxiv_ext,17523.0,0.22349177274514145,0.2957544556624953,0.4857701947599321
github_ext,203752.0,0.12367677196678276,0.2093046889908866,0.38859536845063325
