indicator,direction,entropy_w,critic_w,combo_w
dsir_books,True,0.004631275578836619,0.026243730332715542,0.01543750295577608
dsir_wiki,True,0.004618221830049878,0.026184282091217946,0.015401251960633912
dsir_math,True,0.0049123814968587524,0.02692025775709946,0.015916319626979106
rps_doc_word_count,True,0.31388517055839754,0.027688303528131824,0.1707867370432647
rps_doc_num_sentences,True,0.23806238425020276,0.03076401926663448,0.13441320175841862
rps_doc_unigram_entropy,True,0.019705637330619825,0.03835779657593088,0.029031716953275354
rps_doc_frac_unique_words,True,0.030571372859965012,0.04460060099661446,0.03758598692828974
rps_doc_frac_no_alph_words,False,0.016326300115214472,0.05456171157803051,0.035444005846622495
rps_doc_frac_chars_top_2gram,False,0.007370563983728085,0.0512849363687444,0.02932775017623624
rps_doc_frac_chars_top_3gram,False,0.0067784434449249965,0.04578832291755949,0.026283383181242244
rps_lines_uppercase_letter_fraction,False,0.01798136739872036,0.055185824160076204,0.03658359577939828
rps_lines_ending_with_terminal_punctution_mark,True,0.050013414026158,0.053770562930189156,0.05189198847817358
rps_lines_numerical_chars_fraction,False,0.007099395725836424,0.04552903420654598,0.0263142149661912
rps_doc_mean_word_length,True,0.06433429355738536,0.047228672561499145,0.05578148305944225
fineweb_edu,True,0.02485998789638971,0.04015506347671123,0.03250752568655047
fluency_en,True,0.02506625100969473,0.05984031436026698,0.04245328268498086
modernbert_cleanliness,True,0.01981316805787908,0.049929206649894045,0.034871187353886564
modernbert_readability,True,0.026412669588588806,0.04643223896033889,0.03642245427446385
modernbert_reasoning,True,0.023896812815907137,0.06345188628215427,0.043674349549030704
modernbert_professionalism,True,0.024333195685044922,0.060741506085263755,0.04253735088515434
qurater,True,0.03102772379532825,0.04587999586903449,0.03845385983218137
ad_en,False,0.03829996899426927,0.05946173304534688,0.048880851019808075
