,mean,std,count
BBH,0.4748557194557741,0.11632408956396714,1858.0
IFEval,0.4017281315730767,0.21503344613049483,1856.0
MUSR,0.3995858518404365,0.046409125629435194,1854.0
MMLU,0.3199125482191168,0.12980609708625965,1856.0
GPQA,0.298025292673921,0.0388799475114404,1854.0
MATH,0.11320368357407924,0.12023808484300334,1857.0
