scale,coef_norm,cos_sim_vs_1M
1M_train,16.44873153383244,0.9999999999999962
1M_test,12.830333285114685,0.9557526136817047
60M,8.841126388904359,0.9142174416999006
1B,1.7218294935425649,0.6846111709717482
10b,2.3475620909944532,0.6076621211684387
70b,1.9074783977122292,0.5590760285890428
