scale,plain_r2,quality_r2,plain_rmse,quality_rmse
1M,0.5867099306059446,0.5867481611938066,0.4740399766537884,0.47401580836566387
60M,0.5567645945144009,0.5566891929555448,1.556396189843015,1.556399368556701
1B,-2.6671138333194837,-2.6702944725327526,3.171439152098906,3.1714718311003667
