lctx,C,L,N,D,Q
512,1e+18,3.9066558063279397,0.08899843277714585,1.6978702613832777,0.4579862285488753
512,1e+19,3.225057569380442,0.31205165589304684,4.016688688511464,0.707026977440239
512,1e+20,2.7159905565154157,0.9507959023829532,11.874492299596652,0.9348818976690015
512,1e+21,2.3617304826216436,2.3773448973110978,54.254750669039204,1.0
512,1e+22,2.1380517433049997,6.201059702969218,239.43262377570792,1.0
512,1e+23,1.989373653827818,17.73400547634699,891.710250689911,1.0
512,1e+24,1.886726808301382,53.14321729260106,3046.6884403839067,1.0
1000,1e+18,3.911502786121197,0.08839451350911293,1.679900331397722,0.459430204283158
1000,1e+19,3.2281848449427084,0.3094206648728353,3.9864929110162413,0.7081525673597486
1000,1e+20,2.7180431070411384,0.9425006697283256,11.791496454687772,0.9359718002404432
1000,1e+21,2.363235550781053,2.35513569377128,53.978491540518,1.0
1000,1e+22,2.139174540099419,6.148171068763517,237.85332542081093,1.0
1000,1e+23,1.9901880924637494,17.59133896612271,885.03127153071,1.0
1000,1e+24,1.887309223293478,52.72669609167234,3022.704391682691,1.0
2000,1e+18,3.921223487191697,0.08719178907808421,1.6447539668609121,0.46230422555657985
2000,1e+19,3.2344616003340327,0.3042212654202722,3.9268036200102214,0.710403483142929
2000,1e+20,2.722163275833074,0.9261229463151001,11.627117091904791,0.9381542850835122
2000,1e+21,2.366260031671315,2.3113645208488496,53.42796750093807,1.0
2000,1e+22,2.1414299877092073,6.0437838711184,234.7182408818329,1.0
2000,1e+23,1.991823752762342,17.309436905136277,871.8057402224317,0.9999999999999999
2000,1e+24,1.888478792524281,51.903214976061996,2975.263964665289,1.0
4000,1e+18,3.9398694933241485,0.08491764760511972,1.580489013815808,0.4677383939483575
4000,1e+19,3.2465193602631546,0.2945294805017934,3.815472330229457,0.7146968683223114
4000,1e+20,2.730079974891766,0.8956498084113316,11.319361432660767,0.9423289301084599
4000,1e+21,2.372083642878646,2.2301931459717674,52.38517682113846,1.0
4000,1e+22,2.145769684471042,5.849662830490636,228.82371826159635,0.9999999999999999
4000,1e+23,1.9949695738764681,16.78405555055467,847.0582612947621,1.0
4000,1e+24,1.8907277841695684,50.366801825106606,2886.683455310899,1.0
8000,1e+18,3.9743745548375227,0.08083087876115613,1.4714198835068648,0.47754008888220917
8000,1e+19,3.26889060353861,0.2775294098107317,3.6198972969665557,0.7225585059173393
8000,1e+20,2.7447738735635325,0.8423739087278221,10.774945529686004,0.950017031427169
8000,1e+21,2.3829344404616903,2.0891366118727555,50.501238882334185,1.0
8000,1e+22,2.1538447930567064,5.510564352436051,218.31989837426406,0.9999999999999999
8000,1e+23,2.000818618164644,15.8626074849331,803.3427215540357,1.0
8000,1e+24,1.8949079737245018,47.66679296658412,2730.8102482829445,0.9999999999999999
