C,dQ,Q,L_at_fixed_scale,extra_cost
1e+19,0.05,0.45,3.34564575653369,3.121653869990278e+17
1e+19,0.1,0.5,3.324810454732069,7.476772595708968e+17
1e+19,0.2,0.6000000000000001,3.2830782980771915,2.1072746611212283e+18
1e+19,0.3,0.7,3.24124615270468,4.3462539885625293e+18
1e+22,0.05,0.45,2.300489275401676,1.0569585236015483e+19
1e+22,0.1,0.5,2.2826884983535507,2.5315550196119847e+19
1e+22,0.2,0.6000000000000001,2.2470343560030366,7.135006017334597e+19
1e+22,0.3,0.7,2.211294787634369,1.4715949910752592e+20
