form,slope_lnL_lnC,L_at_1e19,L_at_1e22,L_at_1e24
exp,-0.04725441203953576,3.2561396603943416,2.148867178900226,1.8923328147544833
power,-0.0478329957912036,3.293323422440102,2.1506574181303955,1.8924459355369363
log,-0.046684137209175296,3.224205640065282,2.1441612514611976,1.8920502864946627
