family,n,r2_loo,mae,bN_loo,bT_loo,resid_mean
gemma,147,0.10895656552256727,0.375518557153548,0.3690298537484231,0.56662537223104,0.04746538595911404
llama,590,0.4153009297854173,0.32253828023647346,0.3645772409333581,0.667246678527422,-0.05212512113785595
mistral,128,0.48060903123418675,0.21049583357573212,0.3686150557352219,0.5598310690966773,-0.07781977022563968
other,1169,0.44802120927237654,0.34399136260155433,0.3844372725537713,0.40820035691276557,-0.06862227015364472
phi,90,0.28627783847572896,0.38383342408046534,0.36437159082998477,0.5880451766557226,0.16097758755579988
qwen,321,0.588013324280512,0.37408892932615245,0.353034047600632,0.5264152974930044,0.2227180567073609
yi,39,0.41728420927851484,0.2018863750291859,0.366627388257706,0.5656737573519302,0.01871993312165699
