draw,expo,k
0,0.9350862123454612,26.280632549332555
1,0.9885435492355209,24.050194004002467
2,0.8422689842335168,28.45095777945913
3,0.9444376219438392,24.054816802694607
4,0.9951408114529531,25.772208075932124
5,0.9043051566265529,27.495216127653133
6,1.0170503708871446,25.27317526964545
7,1.1097759448473583,25.612307381099683
8,0.9384622568511376,24.861217267246726
9,0.8971292112226317,27.21348476571118
10,1.0040624257831952,27.986264845929586
11,0.9772008186330667,24.047547407139646
12,1.038586584782201,25.545553857355632
13,0.7766163509680373,26.504009376868172
14,1.1350128809337054,24.11534964092804
15,1.0054735958657626,23.76126851623189
16,0.9487856539054678,24.734411819346025
17,0.9821093454897454,25.12811320025666
18,1.1179368509411876,24.609532570585756
19,1.0468737737957552,26.558067599188494
20,1.0053912073351647,22.792902297309734
21,1.0298332780710577,26.103682388864915
22,0.9412469588730028,24.930457732335736
23,0.9287874151393886,26.26198385023319
24,0.8618342557370493,30.42353326807767
25,1.0739170484888463,23.3791825841521
26,0.9136449520290102,24.697828374908454
27,0.8609934662692886,26.96870076387291
28,0.9361803782520268,27.952686123812633
29,1.0765297004875058,25.975341086458446
30,0.8457499997577667,29.006964650865346
31,0.9968789886472599,24.452562129659135
32,0.8779206565294181,25.46806641534654
33,1.155980997859196,25.314310471469575
34,0.9480105780922974,29.78973308161297
35,0.8660679186177991,28.655522177067194
36,0.8760208974908013,26.43397499885182
37,0.9187441124343361,27.120271558650224
38,0.9895162758737532,26.150578927669876
39,1.162906464587888,21.32352760734625
40,1.154213007381837,23.208023997664032
41,0.9892513728680093,24.244497256589945
42,1.1843971654331733,22.24027077000358
43,0.9130754978834991,26.283461661649994
44,0.9750020968167644,23.71609739654032
45,0.8685879547260755,27.76979372411832
46,1.0796376669315149,24.75830159570521
47,1.0272149160713862,24.684537898501993
48,1.0830293590583417,23.70115255138313
49,0.9231117277909304,25.111518460633047
50,0.9693697270084514,25.50897210910192
51,0.9584073583539073,24.311112495039463
52,1.0737518939566462,26.196355324881615
53,1.0837634750094394,22.611905902664894
54,0.9567910653444008,25.601990390289508
55,0.9477741922824016,24.379348521305058
56,1.0398898709452764,23.57734677350281
57,0.969985900896718,23.33170173761072
58,0.9757870260682029,23.939761347875688
59,0.9241822589532225,26.238238095594678
60,0.9002543270467238,26.69571961433397
61,1.0202091145365288,22.40500636341867
62,0.9661196547860614,25.550234853215766
63,0.9001554794597865,26.264884937370066
64,0.9582635777482844,23.593242005927802
65,0.8440159180236103,26.942301920596485
66,0.9818828582032098,25.503636000826422
67,0.8528074900153068,27.663906963204003
68,1.1567455506810727,23.316645434903318
69,0.9231342181563431,26.020007005671513
70,0.9636838784111587,25.919090449021606
71,1.0009821672465316,25.828997121485738
72,0.9282333096777121,25.895703176479167
73,1.0107321820255943,22.502670937132482
74,0.9105339121302055,26.858106786943498
75,0.8941130175803814,28.15087796832138
76,0.9901744430719601,24.426768006565503
77,0.797519324618533,29.44528190137015
78,0.9173022660333064,28.830660086895428
79,1.0270254357068942,23.860254678779437
80,0.9901620978814879,26.5245153049507
81,0.9333120826598106,25.632367327110927
82,1.0140356154387262,26.772717996968716
83,0.7930070324367773,27.338816477356005
84,0.8835369030450975,23.95044080250587
85,0.9901481102900113,24.183776741772466
86,0.8515737458405918,26.12717400244737
87,0.988375426654983,24.906771033251797
88,0.8384152141639756,27.48513973052104
89,0.9595699283229016,27.125787920308902
90,0.9999169199058447,25.789591008439913
91,1.0226886345888162,23.72428265182714
92,0.9854196457746361,26.351509811429242
93,0.9842693052009603,29.728831377399157
94,1.0496592795419175,23.670323970319842
95,0.8160978118029348,29.277268464323697
96,0.9783569398624081,26.83939437322201
97,0.8871422887061597,28.492331893611272
98,0.856733471477184,27.00204712200089
99,0.9656128585276506,24.082456878889207
100,0.8893253564863852,26.746737944027373
101,0.9712207292241543,25.135762170834667
102,0.9850353219138791,22.37619927544803
103,0.9245111448884091,26.711311915303824
104,0.9090988032843601,29.173828138831936
105,0.8823175292870813,27.23716852656452
106,1.0897222700520355,23.1950558189314
107,0.9767630395215509,26.821665698595606
108,0.9084934708393011,24.089306372085137
109,0.9444122828048416,24.69460095239048
110,1.0046991618121426,24.21112281565038
111,1.0682692050556306,23.08281154267436
112,0.9903530043417884,23.613659610678646
113,0.8585503090883525,28.022662372736466
114,0.9688167637582314,23.974103169176882
115,0.9492340556653491,25.33426951989864
116,0.953156206500098,25.46548100130581
117,0.9646586370558777,29.121196863767732
118,1.0309809967179708,25.732593410148972
119,0.9414640062994508,23.536718227811857
120,0.945119026720884,24.49449181393083
121,0.8753484069733143,24.62468206819704
122,0.9069912714994302,25.00412397002119
123,0.9465583485809204,25.734531941865388
124,0.9150105693869045,28.614161855613876
125,1.0955209459028739,26.997905515732132
126,0.8930850697441792,26.24355060847318
127,0.7935450394357437,26.98149449657533
128,0.8870283343717555,27.225183944887526
129,1.0174199776096788,24.017594956917456
130,1.0231121871327156,24.03798444224453
131,0.9173925219043563,27.235328026106114
132,1.1562924343787229,22.3119415447028
133,0.9280451099947141,28.224269945141334
134,1.0037754100049392,24.102855833450604
135,0.8962462067356437,27.455312128205033
136,0.977837821509334,23.297360495137386
137,0.9264790599897517,26.357017705139846
138,0.9361197149392801,26.165156858260627
139,1.1014399998693474,23.315285986700477
140,0.8900153029505932,22.99107467578628
141,0.9430228463862386,25.69688277710079
142,0.9507003832147375,21.68296542209818
143,0.9612732886949678,25.20907399061309
144,1.0288805634948057,23.149015630851057
145,0.9318245804603809,25.52549525498776
146,0.9796109878367961,26.067377677551633
147,0.9931092818110123,23.04842355363381
148,0.9804629618872779,26.456652670658354
149,0.9942956758299675,25.739043756967092
150,0.8285392489452416,25.06679584130031
151,0.9886566875043247,25.622988715628104
152,0.9380773482276659,27.990731087556654
153,1.0528186029431175,22.9172396578161
154,0.9313352126418281,25.39192586316666
155,0.9903377446114096,24.522881843107292
156,0.895908667575749,30.424060234634613
157,0.8141061623824253,26.464550239959316
158,1.1122319538914975,26.070453695630732
159,1.0084722008426465,28.92019427205269
160,1.0135084658490998,23.07191184204358
161,0.9524212186365577,27.10021535914252
162,0.9545513177120238,27.55988063684622
163,1.0269224578335152,26.819557573678903
164,1.0539358592544965,22.85652869893685
165,1.0062008460825242,25.506455139582812
166,1.2132580497867054,21.03997210995261
167,0.9030754745211103,23.835344839631308
168,0.9166715744901877,24.88064729470926
169,1.0091504104600921,23.954009967424117
170,1.0078888416824368,26.21691604557438
171,0.9244231215156389,26.33955006935622
172,1.0543043427663505,22.009516122971224
173,1.002845860029882,25.216057200958154
174,0.8535725991558942,25.52919420131068
175,1.0323688685749883,24.0469446521759
176,1.0779976771291666,22.54880575801148
177,1.0870986509437521,23.206069564804864
178,0.9656182516730856,24.29808799145724
179,0.7687736072246876,27.804231261454706
180,0.8564283840289073,28.53877406365696
181,0.9201547918145191,25.13740984228491
182,0.9332279186538618,26.036847183455624
183,0.8950547113797356,26.261121392780787
184,0.9701758882781298,23.81767283085675
185,1.0592673853389172,23.06408797301492
186,0.8648978784059571,23.952996342885523
187,0.9440382027447002,24.72704824406418
188,0.97428141831564,26.020408827952867
189,1.0041417278030391,26.084615695832532
190,0.8759364868714542,26.23922707277025
191,0.9419325799676409,26.7583643122802
192,0.9515140658976625,25.627604895983843
193,1.1415705839014725,21.310866823219584
194,0.9064856605372654,24.171233049524954
195,0.9776968681435287,25.098025506031085
196,1.0668213620889144,25.44459204439608
197,0.8994940869198194,26.598983257073236
198,0.8876187828758609,25.1454958745191
199,0.9498810398474133,29.350062247398018
200,0.9498189759815246,24.37824585956732
201,0.9884224871769456,23.427063991969018
202,1.0381706445651036,26.13270606680378
203,0.9538837751323991,26.879395923226472
204,1.1113295019570968,23.558495298216844
205,0.891529291347454,25.192185147774133
206,0.9256998046447793,26.13427549092628
207,0.9137000684056839,24.822708232478526
208,1.0325132564742265,25.47711364874289
209,0.9853260984157155,25.00415258971685
210,1.005143108169631,24.345040739122286
211,0.9737045336963195,25.410214372873913
212,1.06646132373615,22.875520688474644
213,1.049889782077885,23.825349863561772
214,0.9567435753122342,27.699990414998197
215,0.9731961541689415,25.616592246702076
216,1.1390528295019589,21.80304794881482
217,0.8881547485381194,26.696766185853097
218,1.049807024283634,25.1005433447952
219,0.8357939036583821,26.645565591128502
220,0.8770668414294074,25.570345537890283
221,0.8953559935805105,24.605055034533
222,0.8318981529044585,28.94425051041843
223,0.8955704628112416,25.58959006973649
224,1.0146455334143025,25.808304140807483
225,1.0057457353459482,24.056738354922572
226,1.0557903642163295,22.6538842629219
227,0.8469670130668875,28.66373212713897
228,0.9432055942216576,25.242939760510417
229,1.026420163868144,27.15830862935722
230,1.0770543144439233,23.577143422278116
231,1.060179809707828,28.281598152370773
232,0.8783142997467616,27.333479740193166
233,0.9012494989545791,26.88680424318774
234,1.1670865255144884,23.093195281877975
235,0.9520706722853853,24.728185770298186
236,0.9528128546040017,23.95629561650137
237,0.9084922049446043,25.026904664710706
238,0.9177334714891326,25.177743605573397
239,0.9689929230518409,24.330005366031017
240,0.9144979266301473,23.902048652095626
241,0.8050053432902043,29.31923546511969
242,0.8612823315812851,26.659513907270508
243,0.9281806034612554,25.56636321444189
244,0.9422989257918177,25.883121461657495
245,0.9197488577479647,24.889786228945372
246,0.9378691733909171,29.29360449943971
247,1.0381125741080979,22.73007696873451
248,0.9586320969091346,27.33050415138997
249,0.986379783856162,24.624819864577724
250,0.9210082606107365,22.407399361853276
251,0.7914659246456603,26.501856637164742
252,0.9874765872759503,26.60998235421828
253,0.8837718118562735,24.275455115294612
254,1.0625769846279052,25.272706956890254
255,0.9871503972652311,22.1683729675808
256,0.8928008796529153,25.558190016531572
257,0.7967476929039211,28.316382839417827
258,0.8704451305399897,27.579141474140677
259,0.9544422929923992,24.790577587671674
260,1.0046565813454311,25.084444162059825
261,1.0953424941781178,26.981518917126063
262,0.8690379364145702,28.020664395664298
263,0.9473285511653632,24.0451863926681
264,1.2591398225087034,23.298051984408925
265,0.9307095293718617,23.0243794918734
266,0.9794583309223468,23.08451511793579
267,0.9027093239775458,26.182658513258495
268,0.9022963162402843,28.732398376515178
269,1.019647741599346,22.12944410080586
270,0.9041141558752384,24.737361690304855
271,0.7995990764662699,26.45682756370091
272,0.967570921703867,24.870330572753105
273,0.926782766631578,27.568753578649698
274,0.8725497465005199,27.831931732699612
275,0.8945416169685884,26.25332626893691
276,0.8741879062579718,27.10992102005514
277,0.8870917861914002,24.979232575713194
278,0.8924836651798752,25.440590973888405
279,0.8224144356543851,27.82181762463944
280,1.019906198528197,23.5615279624329
281,1.0389051493668169,27.46288172953889
282,0.9774788663762694,26.17569590399416
283,0.9912052869191038,27.88982530683606
284,0.9211823014317632,24.70245719907547
285,1.0498938734400387,26.647277208378036
286,0.902211103068401,26.665853848075884
287,0.898087227196789,26.671726825792344
288,0.8420366963643852,29.16506963746296
289,0.922671984529043,27.00736081212382
290,1.0147296986256753,25.876698799941778
291,0.9760486146666395,25.116262849931044
292,0.8831922559777599,26.121079282874597
293,0.8630698058610834,24.64635794356071
294,1.010410276319225,25.856719310900903
295,0.937576996542222,26.936423923815664
296,0.9014862220177197,27.836260429214068
297,0.8632228862519714,27.506901339131677
298,1.0567304537957276,29.42307466412859
299,0.8498143037045963,27.132648823863605
