form,r2,resid_sd,corr_N,corr_D,corr_Q,skew,n_outliers_2sd
additive,0.971612217620039,0.05772638427499275,0.006773839884445303,-0.0018127844792693814,5.741765741056249e-07,-0.18733062139159679,46
interaction_N,0.979073497981687,0.04956292654322299,0.00934709077214216,-0.002111359014422896,7.1842585188875e-05,-0.1731732009513815,43
