param,boot_median,ci_lo,ci_hi
E,1.637259258187126,1.5709166851740584,1.6993042238220677
A,0.4032903433035818,0.3704594439936134,0.44396381182658673
a,0.30676166320669973,0.2812188391548816,0.3234996945271614
B,1.3267539434412445,1.2889234454907776,1.3689675572909017
b,0.2927068357971516,0.24695900868125104,0.327570726281035
C,0.356213798552322,0.3447016099244378,0.3690817658984955
g,0.9917172235878966,0.9204848381200196,1.066686783006552
h,0.1631468387907677,0.142364960713998,0.1866467907471134
eps_N,-0.06022359299848597,-0.061217232842213684,-0.05910326608547857
eps_D,-0.029933616551899182,-0.03237020025006476,-0.027929172923499373
eps_Q,-0.14589079293714924,-0.15108006793512538,-0.14173583096445427
equiv_B,0.2162966898795602,0.20994342526361187,0.22377662475701918
