domain,n,mean_full,uplift_del20,rel_uplift_del20_pct,keep_100,keep_90,keep_80,keep_70,keep_60,keep_50
book,171,0.49901783570064445,0.021241541588083723,4.256669815871331,0.49901783570064445,0.5163503487671826,0.5202593772887282,0.5225391215404188,0.5247757618232193,0.527415065247865
arxiv,16419,0.3354091732904676,0.01701169202299191,5.071922111164091,0.3354091732904676,0.3441157822797459,0.3524208653134595,0.3612664452658003,0.37107019776680594,0.38234034869578415
github,25000,0.30027765457043565,0.011129061991473399,3.7062571330504626,0.30027765457043565,0.3062258723593845,0.31140671656190905,0.3166203439489733,0.3221825681096171,0.328434925567905
stackexchange,10000,0.2936368420471825,0.01096962800696083,3.7357805411891043,0.2936368420471825,0.2993772755580284,0.3046064700541433,0.30989113256752165,0.31547456226409726,0.32164299600023843
wikipedia,10000,0.31031639390132093,0.010804764405574763,3.481854203619878,0.31031639390132093,0.31625820148318345,0.3211211583068957,0.325959278832372,0.3311333214973507,0.3368960589598754
commoncrawl,9640,0.26357056788814026,0.008640409493810342,3.278214848889101,0.26357056788814026,0.2682286752928362,0.2722109773819506,0.27620810971238996,0.2804651402009613,0.28527517626728843
c4,10000,0.2883941367774901,0.007706819797120068,2.672321942198932,0.2883941367774901,0.2923864207807225,0.29610095657461016,0.2999451153230614,0.304147362289948,0.308936060486973
