family,T_base_nonas,n_boot_nancatch,T_median,T_ci90,P_catch_12m,P_catch_24m,P_never
gemma,,77,63.79304874815321,"[20.862965288518136, 2105.0937732924217]",0.0033333333333333335,0.02666666666666667,0.7433333333333333
llama,,0,,"[nan, nan]",0.0,0.0,1.0
mistral,136.5910645533264,104,21.77619453499183,"[4.402874899780289, 213.5359601459727]",0.11,0.18,0.6533333333333333
other,5.657801127222789,142,4.802358979370984,"[1.0777639435531239, 63.87139302132803]",0.34,0.39666666666666667,0.5266666666666666
phi,,1,6.594817429736559,"[6.594817429736559, 6.594817429736559]",0.0033333333333333335,0.0033333333333333335,0.9966666666666667
qwen,,8,1.1215041543719895,"[0.2360943817058359, 6.333744461297961]",0.02666666666666667,0.02666666666666667,0.9733333333333334
yi,,2,678.8862627512707,"[630.2450451998601, 727.5274803026813]",0.0,0.0,0.9933333333333333
