N0,D0,Q0,eps_N,eps_D,eps_Q,r_QN,r_QD
1.3,250,0.55,-0.057208009277404194,-0.0316814497272568,-0.14019564166352497,2.4506296134813925,4.425164974155496
1.3,250,0.6,-0.056462740421336075,-0.03190521137324676,-0.1413317600870234,2.5030977779749617,4.429739030205368
1.3,250,0.65,-0.0557060320145492,-0.03213240766244405,-0.1425049937569013,2.558160913699294,4.434930468141026
1.3,250,0.7,-0.05493749677649062,-0.03236315487319327,-0.14372254531464346,2.6161101933597126,4.4409312342317495
1.3,300,0.5,-0.05826768741420811,-0.029997020937666468,-0.13987297485495673,2.400523876306267,4.662895530379883
1.3,300,0.55,-0.05753165174078053,-0.030208383502655544,-0.1409887694684551,2.450629613481393,4.667206686384299
1.3,300,0.6,-0.056784435597357866,-0.030422956686166142,-0.1421369945673088,2.5030977779749617,4.67203092827401
1.3,300,0.65,-0.05602568891387575,-0.0306408410213733,-0.1433227275425528,2.558160913699294,4.677506320488365
1.3,300,0.7,-0.05525502051906588,-0.03086214883666358,-0.14455322241422836,2.616110193359713,4.683835308398947
1.3,350,0.5,-0.05853235898676248,-0.02880661923020299,-0.140508325284253,2.4005238763062664,4.877640245160518
1.3,350,0.55,-0.057794829761192594,-0.02901052258853141,-0.14163372132157154,2.450629613527716,4.882149947121701
1.3,350,0.6,-0.05704604908733627,-0.02921753661482411,-0.14279183871276202,2.5030977779749617,4.887196364128579
1.3,350,0.65,-0.05628566393299674,-0.02942775891003341,-0.14398778547500635,2.558160913699294,4.892923919731911
1.3,350,0.7,-0.05551327995215693,-0.02964129849891133,-0.14522885754966913,2.616110193359713,4.899544382477142
1.3,400,0.5,-0.05875402526077761,-0.027809640565306153,-0.14104044046759817,2.4005238763062664,5.07163838153136
1.3,400,0.55,-0.05801525813071801,-0.028007237729039763,-0.1421739096089047,2.4506296134813925,5.076327447368698
1.3,400,0.6,-0.05726518014341048,-0.028207860190131162,-0.14334034517230665,2.5030977779749612,5.08157457553111
1.3,400,0.65,-0.056503435787532405,-0.02841160304263381,-0.14454488092138326,2.5581609136992935,5.087529932910948
1.3,400,0.7,-0.055729628045883876,-0.028618572474526153,-0.14579484800298215,2.616110193359713,5.09441371098284
