model,rmse,p90_abs_err
linear,0.5281950210698366,0.6664690715784966
gbr,0.44828779976461214,0.6924030327002914
rf,0.4498394730147323,0.6849763607531215
knn,0.4520509220297429,0.5997521011324015
qreg90_LP,1.7422938005005602,2.287079066716719
