domain,gra_combo,gra_critic,gra_entropy,gra_equal,gra_pca,topsis_combo,topsis_critic,topsis_entropy,topsis_equal,topsis_pca,wsum_combo,wsum_critic,wsum_entropy,wsum_equal,wsum_pca
arxiv,0.8194415850686728,0.6515293157613288,0.8974632558181355,0.5818685436238482,0.6376585629594919,0.47264503125598073,0.5269356022358632,0.45800262183332363,0.5383093751170341,0.5489506883866754,0.4853488394453568,0.5169692442363969,0.4537284346543169,0.531537846270451,0.5390546510195388
book,0.8569667091416159,0.6768835394215528,0.9357335584264307,0.6191529909200494,0.6711488811954348,0.6945712038338548,0.5512831287647199,0.7940192365498735,0.5486154866597255,0.5584557413196748,0.6371857268802438,0.5480648980831188,0.7263065556773689,0.5538652260890616,0.5631078085797339
c4,0.8334309372373214,0.7093195923757117,0.8926025525684905,0.6566562498108327,0.7040361867453631,0.31565374321513245,0.5805093383539941,0.15940943346557496,0.5677142059330148,0.581984967061966,0.4307089351260519,0.6029782428862753,0.25843962736582843,0.6001074038552331,0.6115145824943976
commoncrawl,0.8208026916312459,0.6788709962229688,0.8869364361451741,0.6208816370210265,0.6734701169547461,0.31034393945204214,0.5640657058435086,0.16209907622464634,0.5591593160871244,0.5731729119034272,0.4125364483085334,0.5661610147514236,0.25891188186564346,0.5723047699673098,0.5821016387138975
github,0.8127560859503498,0.6583055161348208,0.8839923365056017,0.599103105995214,0.6556622685694223,0.27918811883379585,0.5359977307435833,0.1330779382564029,0.5407551508953445,0.5536530965063401,0.3886256883406851,0.5439956328884643,0.23325574379290592,0.5519575634444431,0.5607002603388921
stackexchange,0.8000847971045164,0.6377594346512191,0.8778084663271009,0.578482875417075,0.6377777577395485,0.2558628148518012,0.49462955960790994,0.11283519854792937,0.5135882500061718,0.5331897366383346,0.34563521158418553,0.4918409152513672,0.19942950791700387,0.5095493848403623,0.5233529093504987
wikipedia,0.80841866505128,0.6517255371775719,0.8820534153060713,0.5936504079526264,0.6532148829258239,0.2617720296644982,0.49933173671948206,0.12032163431589404,0.5169027017585255,0.5477226438107103,0.3718076588023528,0.5254839657633573,0.21813135184134808,0.5349692117713905,0.5575184932706296
