solver,L,N,D,Q
slsqp,2.1028963427602365,9.973033012851232,137.21165417951138,1.0
trust,1.857298500790785,405.8387561887894,1060.927968205831,0.8094084751547069
de,2.1028963427645064,9.973078622135915,137.21106862592433,0.9999999999914418
bh,2.106615904270702,6.785931031393471,195.51432232296833,1.0
