gN,S_12,S_24
0.4,52.78493810219523,66.7528393384119
0.6,56.7745937085302,77.22497563313487
0.8,61.06580033357331,89.33997296061918
1.0,65.68135017441021,103.35556215027778
1.251125395176952,71.97391967307763,124.10806933553442
1.4,75.98539203787072,138.3279455878062
1.6,81.7286126656287,160.0287318602929
