N,Dstar,eq_0.1Q_B_fixD,eq_0.1Q_B_optD
0.3,14.13497903633105,0.06285938514223367,0.06285938514223367
0.4,19.097012503507536,0.0868263846325827,0.0868263846325827
0.5,24.116882267432864,0.1115323933673122,0.1115323933673122
0.6000000000000001,29.183328600077203,0.13684054892983283,0.13684054892983283
0.7,34.288838874063174,0.1626584310614266,0.1626584310614266
0.8,39.42803096751551,0.18891918572135064,0.18891918572135064
0.9000000000000001,44.596853461956876,0.2155720799500197,0.2155720799500197
1.0,49.79214317975762,0.2425772280828869,0.2425772280828869
1.1,55.01136002761764,0.26990240642840274,0.26990240642840274
1.2,60.25241820246425,0.29752101170561307,0.29752101170561307
1.3,65.51357352861714,0.3254106901785395,0.3254106901785395
1.4000000000000001,70.79334533181054,0.35355238190542776,0.35355238190542776
1.5000000000000002,76.09046052884291,0.3819296334270165,0.3819296334270165
1.6,81.40381254344551,0.4105280904682642,0.4105280904682642
1.7000000000000002,86.7324304289673,0.4393351151128399,0.4393351151128399
1.8,92.07545520687223,0.4683394913320158,0.4683394913320158
1.9000000000000001,97.43212142514419,0.49753119466933066,0.49753119466933066
2.0,102.80174256941338,0.5269012094433132,0.5269012094433132
2.1,108.18369936855358,0.5564413817664974,0.5564413817664974
2.2,113.5774303093574,0.5861442999837504,0.5861442999837504
2.3,118.98242386112088,0.6160031963957162,0.6160031963957162
2.4,124.39821204065949,0.646011865713798,0.646011865713798
2.5,129.8243650402449,0.6761645968172214,0.6761645968172214
2.6,135.2604867072528,0.7064561151952637,0.7064561151952637
2.7,140.70621071281747,0.7368815340537789,0.7368815340537789
2.8,146.16119728276766,0.7674363125082988,0.7674363125082988
2.9,151.62513039113279,0.7981162196195494,0.7981162196195494
3.0,157.09771533703028,0.8289173032811507,0.8289173032811507
