param,value,rss,r2,lr_stat
h,0.02,3.831902902435144,0.9596993331782433,-1.8421511155367198
h,0.03075,3.5778109493624193,0.9623716543209231,-1.5880591624639953
h,0.041499999999999995,3.341471050705639,0.9648572745871364,-1.351719263807215
h,0.052250000000000005,3.1229526347047822,0.9671554637902272,-1.1332008478063582
h,0.063,2.9224025899690087,0.9692646770818397,-0.9326508030705847
h,0.07375,2.740046550691671,0.9711825414351303,-0.7502947637932469
h,0.0845,2.5761904243635754,0.9729058395775899,-0.5864386374651513
h,0.09525,2.4312221679257187,0.9744304913109938,-0.44147038102729463
h,0.106,2.3056138190587614,0.9757515321480414,-0.31586203216033737
h,0.11674999999999999,2.1999237900860464,0.9768630891870532,-0.2101720031876224
h,0.12749999999999997,2.1147994327723825,0.977758354137617,-0.12504764587395845
h,0.13824999999999998,2.05097988313457,0.9784295534013128,-0.06122809623614578
h,0.149,2.009299196244444,0.9788679151025431,-0.019547409346020173
h,0.15974999999999998,1.9906897819036808,0.979063632955054,-0.0009379950052568198
h,0.17049999999999998,1.9961861530045921,0.9790058268398925,-0.006434366106168099
h,0.18124999999999997,2.0269289993655724,0.9786824999602998,-0.037177212467148335
h,0.19199999999999998,2.084169600846799,0.9780804924283485,-0.09441781394837512
h,0.20274999999999999,2.1692745946144814,0.9771854311269467,-0.17952280771605733
h,0.21349999999999997,2.2837311125337267,0.975981675679148,-0.2939793256353027
h,0.22424999999999998,2.4291523058344975,0.9744522603444555,-0.43940051893607346
h,0.23499999999999996,2.6072832754157877,0.9725788316489712,-0.6175314885173637
h,0.24574999999999997,2.8200074274341684,0.970341581542768,-0.8302556405357444
h,0.2565,3.069353275167869,0.9677191758637205,-1.079601488269445
h,0.26725,3.35750170956147,0.9646886778721541,-1.367749922663046
h,0.278,3.6867937623430223,0.9612254666050396,-1.6970419754445982
h,0.28875,4.059738887170088,0.9573031497820057,-2.069987100271664
h,0.2995,4.479023785908717,0.9528934709781087,-2.4892719990102936
h,0.31024999999999997,4.947521808885074,0.9479662107600527,-2.95777002198665
h,0.321,5.468302959778562,0.9424890814633078,-3.478551172880138
h,0.33175,6.044644537754402,0.9364276152672909,-4.054892750855978
h,0.34249999999999997,6.68004245146814,0.9297450452043742,-4.690290664569716
h,0.35325,7.3782232417214315,0.9224021787159077,-5.388471454823008
h,0.364,8.14315685181471,0.9143572633446068,-6.153405064916287
h,0.37474999999999997,8.979070187034893,0.9055658441274957,-6.989318400136469
h,0.3855,9.890461507243081,0.8959806122270189,-7.900709720344658
h,0.39625,10.882115699196419,0.885551244309864,-8.892363912297995
h,0.407,11.959120478058388,0.8742242321533782,-9.969368691159964
h,0.41775,13.126883570531888,0.8619427019281183,-11.137131783633464
h,0.4285,14.391150935199217,0.8486462225719478,-12.401399148300793
h,0.43925,15.758026078983008,0.8342706026360761,-13.768274292084584
h,0.45,17.23399053216181,0.8187476749464119,-15.244238745263385
g,0.5,5.4204914644724695,0.9429919217470103,-3.4307396775740457
g,0.5275,4.935570399561266,0.9480919054285954,-2.9458186126628423
g,0.555,4.503132184654101,0.95263991952595,-2.513380397755677
g,0.5825,4.118569167538651,0.9566844233715173,-2.1288173806402275
g,0.61,3.7777093339288172,0.9602692946318249,-1.7879575470303932
g,0.6375,3.4767721804534144,0.9634342933975277,-1.4870203935549904
g,0.665,3.2123292809521966,0.96621547691327,-1.2225774940537726
g,0.6925,2.9812690298677946,0.9686455703764385,-0.9915172429693706
g,0.72,2.7807651046316506,0.970754298622726,-0.7910133177332266
g,0.7475,2.6082482404035066,0.9725686829752038,-0.6184964535050825
g,0.775,2.461380956106695,0.9741133070541962,-0.4716291692082708
g,0.8025,2.338034911085134,0.9754105549205334,-0.3482831241867099
g,0.8300000000000001,2.2362706074925827,0.9764808245484056,-0.24651882059415864
g,0.8575,2.1543191852409445,0.9773427192904758,-0.16456739834252043
g,0.885,2.0905660844507596,0.9780132197022076,-0.10081429755233562
g,0.9125000000000001,2.0435363752778613,0.9785078378301608,-0.053784588379437226
g,0.9400000000000001,2.011881577101364,0.9788407558364627,-0.022129790202939814
g,0.9675,1.9943678086733418,0.9790249506253658,-0.004616021774917822
g,0.9950000000000001,1.989865128235932,0.9790723059547499,-0.00011334133750806608
g,1.0225,1.9973379380598348,0.978993713352953,-0.007586151161410815
g,1.05,2.0158363415731815,0.9787991630170737,-0.026084554674757454
g,1.0775000000000001,2.044488353429049,0.978497825740797,-0.054736566530624975
g,1.105,2.082492873678744,0.9780981268060118,-0.09274108678031978
g,1.1325,2.1291133468308523,0.9776078126713865,-0.13936155993242827
g,1.1600000000000001,2.1836720351200403,0.9770340112012142,-0.19392024822161624
g,1.1875,2.2455448429059683,0.9763832860979443,-0.2557930560075443
g,1.215,2.3141566358783967,0.9756616861307666,-0.3244048489799727
g,1.2425000000000002,2.388977004754861,0.9748747896894046,-0.39922521785643705
g,1.27,2.469516428506101,0.9740277451360178,-0.47976464160767684
g,1.2975,2.555322796906114,0.9731253073780369,-0.5655710100076898
g,1.3250000000000002,2.6459782564443053,0.9721718710401537,-0.6562264695458813
g,1.3525,2.7410963474150876,0.9711715005739555,-0.7513445605166635
g,1.3800000000000001,2.840319403367134,0.9701279576082873,-0.8505676164687099
g,1.4075000000000002,2.9433161870962166,0.96904472581185,-0.9535644001977925
g,1.435,3.0497797400427658,0.9679250335113919,-1.0600279531443417
g,1.4625000000000001,3.1594254243441315,0.9667718742837235,-1.1696736374457075
g,1.4900000000000002,3.271989138923703,0.9655880257173602,-1.2822373520252788
g,1.5175,3.387225692903197,0.964376066519578,-1.397473906004773
g,1.5450000000000002,3.5049073213255313,0.9631383921267649,-1.5151555344271073
g,1.5725000000000002,3.624822329695929,0.9618772289599757,-1.6350705427975052
g,1.6,3.7467738552086214,0.9605946474532865,-1.7570220683101974
a,0.1,24.054436117965228,0.7470160804546235,-22.064684331066804
a,0.11125,22.04077866559906,0.7681940017504332,-20.051026878700636
a,0.12250000000000001,20.096944948818408,0.7886375769065498,-18.107193161919984
a,0.13375,18.225290979720086,0.8083220274092793,-16.235539192821662
a,0.14500000000000002,16.42863128217098,0.8272177525115492,-14.438879495272555
a,0.15625,14.710255807704465,0.8452901513260244,-12.720504020806041
a,0.1675,13.07394856464078,0.8624994269000035,-11.084196777742356
a,0.17875000000000002,11.524008032799665,0.8788003715109878,-9.534256245901242
a,0.19,10.065269442330258,0.8941421323570643,-8.075517655431835
a,0.20125,8.70312900162764,0.9084679567484683,-6.713377214729217
a,0.21250000000000002,7.443570166059544,0.9217149158356548,-5.45381837916112
a,0.22375,6.293192046314106,0.9338136058346728,-4.303440259415682
a,0.23500000000000001,5.259240062624863,0.9446878256323284,-3.269488275726439
a,0.24625000000000002,4.349638958957764,0.9542542295712942,-2.3598871720593406
a,0.25750000000000006,3.573028299485626,0.9624219541286471,-1.583276512587202
a,0.26875000000000004,2.938800578355579,0.9690922171100345,-0.949048791457155
a,0.28,2.4571420829058503,0.974157887885422,-0.4673902960074263
a,0.29125,2.1390766601416296,0.9775030270908533,-0.14932487324320554
a,0.3025,1.996512546469456,0.9790023941134859,-0.006760759571031949
a,0.31375000000000003,2.0422924314519317,0.9785209205639749,-0.05254064455350771
a,0.32500000000000007,2.2902469377167103,0.9759131478206782,-0.30049515081828626
a,0.33625000000000005,2.755251711176425,0.9710226266037085,-0.7654999242780012
a,0.34750000000000003,3.453288328431385,0.9636812764031331,-1.4635365415329609
a,0.35875,4.401509241679314,0.9537087024441369,-2.41175745478089
a,0.37,5.618306995694487,0.9409114677222277,-3.6285552087960635
a,0.3812500000000001,7.1233879665108715,0.9250823174830369,-5.133636179612448
a,0.39250000000000007,8.937850887405318,0.905999353353406,-6.948099100506894
a,0.40375000000000005,11.08427044468377,0.8834251541526355,-9.094518657785347
a,0.41500000000000004,13.586786243682734,0.8571058402244176,-11.59703445678431
a,0.42625,16.471197464379117,0.8267700779303497,-14.481445677480693
a,0.4375,19.76506354611439,0.7921280207343963,-17.775311759215967
a,0.4487500000000001,23.497811262260054,0.7528701830834315,-21.50805947536163
a,0.4600000000000001,27.70084856825456,0.7086662430512727,-25.711096781356137
a,0.47125000000000006,32.40768563040596,0.6591637694615806,-30.417933843507534
a,0.48250000000000004,37.65406346826655,0.6039868689377432,-35.664311681368126
a,0.49375,43.47809067033499,0.5427347480444267,-41.48833888343657
a,0.505,49.92038867142221,0.4749801853848945,-47.930636884523786
a,0.5162500000000001,57.0242461103343,0.4002679081993429,-55.03449432343588
a,0.5275000000000001,64.83578281868093,0.3181128676713222,-62.8460310317825
a,0.5387500000000001,73.40412402573338,0.2279984067905133,-71.41437223883496
a,0.55,82.78158540044373,0.12937431423954326,-80.79183361354531
b,0.1,180.37224488229845,-0.897000506008216,-178.3824930954
b,0.11,153.4337095851427,-0.6136841059535878,-151.44395779824427
b,0.12000000000000001,129.87580877152823,-0.36592231869479996,-127.8860569846298
b,0.13,109.32684827620254,-0.14980598392825706,-107.33709648930412
b,0.14,91.45523862546908,0.03815227191507231,-89.46548683857065
b,0.15000000000000002,75.96514693964508,0.20106376522878433,-73.97539515274666
b,0.16,62.59262504645314,0.3417044764121744,-60.60287325955472
b,0.17,51.10216108813634,0.4625513171077593,-49.11240930123792
b,0.18,41.28360779942944,0.565814435937931,-39.293856012531016
b,0.19,32.94944586293845,0.6534660001849389,-30.959694076040023
b,0.2,25.932345388570845,0.7272658420579067,-23.94259360167242
b,0.21000000000000002,20.082992681354625,0.7887843148842028,-18.0932408944562
b,0.22,15.268153116574423,0.8394226661266383,-13.278401329675999
b,0.23,11.368944185144862,0.8804312000104428,-9.379192398246438
b,0.24000000000000002,8.27929565204894,0.912925472255572,-6.289543865150517
b,0.25,5.904576327698111,0.9379007325172638,-3.914824540799687
b,0.26,4.160369222732709,0.9562448062568882,-2.170617435834285
b,0.27,2.9713788734213678,0.9687495865558435,-0.9816270865229437
b,0.28,2.2704564161091714,0.9761212875459899,-0.28070462921074735
b,0.29000000000000004,1.9977295805097945,0.9789895943937073,-0.00797779361137052
