scenario,L,L_p,N,D,Q,Q_p,s_train,s_Q,s_attn
uniform,2.275952216689618,2.275952216689618,8.497447823238724,172.18177637268911,0.4776951333667069,0.4776951333667069,0.8778633965036904,0.0022789877603389946,0.11985761573597055
data_mix,2.281101464389117,2.281101464389117,8.63997888027805,169.46968632797783,0.4568792869159671,0.4568792869159671,0.8785287064326446,0.0015228408490849576,0.1199484527182704
