S,N_B,D_B,C_train_FLOP,H100_card_days,wan_card_days
60,40.39672823128113,2384.8850999026563,5.780493314615962e+23,6721.503854204607,0.6721503854204607
70,61.69726952990742,3714.0480712514786,1.3748797493942116e+24,15986.97383016525,1.598697383016525
80,89.03986236427305,5451.232542293229,2.912261971688612e+24,33863.51129870479,3.386351129870479
90,123.05900176180674,7646.944645258526,5.646152247439845e+24,65652.93310976564,6.565293310976564
100,164.3693279505071,10350.89440393059,1.0208217341164415e+25,118700.20164144669,11.87002016414467
120,271.23871311616404,17478.94416424913,2.8445797930441315e+25,330765.0922144339,33.07650922144339
150,500.7119710795186,33189.32075134525,9.97097412731787e+25,1159415.5961997523,115.94155961997522
