C,form,N,D,Q,L,sN,sQ
1e+18,exp,0.08481263974364825,1.5775870246665982,0.4679894908661117,3.9407394156412217,,
4.328761281083062e+18,exp,0.19192127768738165,2.6468507351543344,0.62952771983668,3.4781867326510216,,
1.8738174228603867e+19,exp,0.4011365080357702,5.082263427846241,0.7775188459389654,3.089604356201831,,
8.111308307896889e+19,exp,0.8102318444363378,10.218028657774376,0.921791664702329,2.7708709708912957,,
3.5111917342151416e+20,exp,1.4951861748859887,24.866744618361423,1.0,2.5143587709778847,,
1.519911082952927e+21,exp,2.6303125017846405,69.52715385009894,0.9999999999999999,2.323507520757182,,
6.57933224657571e+21,exp,4.8619465319763675,177.44264348524706,0.9999999999999997,2.180322656556763,,
2.848035868435793e+22,exp,9.354363390526883,420.6019444348241,1.0,2.0702284847588825,,
1.2328467394420634e+23,exp,18.49706399923979,947.9117261392112,1.0,1.984009643322357,,
5.3366992312063014e+23,exp,37.17782084609483,2072.9307979988953,1.0,1.9156902598525634,,
2.310129700083158e+24,exp,75.39352968235187,4459.299953574689,1.0,1.8611895546237098,,
1e+25,exp,153.5983590068892,9511.65285322058,1.0,1.8175569761641712,,
1e+18,power,0.07827290796732801,1.8735060638848258,0.4,3.9456104233338163,,
4.328761281083062e+18,power,0.18325893828293266,3.0621172850058844,0.4915777279168633,3.5122049987986492,,
1.8738174228603867e+19,power,0.4235817361356327,4.8225250602663445,0.6887344350976886,3.1291622401711914,,
8.111308307896889e+19,power,0.941034946540682,7.491185094910697,0.9760910474679336,2.794697185916631,,
3.5111917342151416e+20,power,1.5812225176492674,22.42903333494238,1.0,2.5241356531490684,,
1.519911082952927e+21,power,2.738368131308852,64.55213847707006,1.0,2.3282336513665256,,
6.57933224657571e+21,power,4.990031443945282,169.1344075617151,1.0,2.182462173020804,,
2.848035868435793e+22,power,9.497641351686212,408.9754083519106,1.0,2.071145530904373,,
1.2328467394420634e+23,power,18.650134760936957,933.6140954139079,1.0,1.9843879441218668,,
5.3366992312063014e+23,power,37.33649870870538,2056.713374145085,1.0,1.9158427245767367,,
2.310129700083158e+24,power,75.55519166331787,4441.720338222832,1.0,1.8612502168172025,,
1e+25,power,153.76154329839866,9493.045582223695,1.0,1.8175809511222984,,
1e+18,log,0.0782729054950916,1.8735061230591965,0.4,3.945610423333816,,
4.328761281083062e+18,log,0.25484635408533046,1.3059037129202167,0.9999999999999998,3.4766320048932613,,
1.8738174228603867e+19,log,0.4116042963257714,4.274485009564226,1.0,3.0348858664442973,,
8.111308307896889e+19,log,0.6973855041703161,12.80896181233138,0.9999999999999999,2.718721015698378,,
3.5111917342151416e+20,log,1.2441797013033067,34.89825299806266,1.0,2.486221286270531,,
1.519911082952927e+21,log,2.32780566222141,87.0974922014337,1.0,2.310533082281806,,
6.57933224657571e+21,log,4.517951810452037,203.15527548331983,1.0,2.1746760030773484,,
2.848035868435793e+22,log,8.982113475597734,453.30863969587114,0.9999999999999999,2.0678743724208193,,
1.2328467394420634e+23,log,18.107969296603454,985.8138307534864,1.0,1.983054830942789,,
5.3366992312063014e+23,log,36.77954368020678,2114.515847112396,1.0,1.9153090389963527,,
2.310129700083158e+24,log,74.9905035166769,4503.596820294171,1.0,1.8610386164924093,,
1e+25,log,153.1929175821679,9558.127221346549,1.0,1.8174974696971364,,
