,TOPSIS,SAW,GRA,RSR,熵-CRITIC,CRITIC-only,PROMETHEE-II,VIKOR
arxiv,0.33540917329046765,0.33577789755122167,0.5007186518154575,0.4824956973390807,0.33577789755122167,0.3929849033779012,0.00425104724671245,-0.25346134547474103
book,0.49901783570064445,0.46007162991049194,0.5460418120627836,0.45886027447610217,0.46007162991049194,0.4434435347147088,0.14926040166586127,-0.28458120551602223
c4,0.2883941367774901,0.28473159605260273,0.53288896556377,0.4602641871565588,0.28473159605260273,0.3921394354575951,-0.055302971168342936,-0.9862673067648678
commoncrawl,0.26357056788814026,0.2750617950943546,0.509951039922329,0.453011941006237,0.2750617950943546,0.3698354705338534,-0.06658440561963257,-0.9260473883992395
github,0.30027765457043565,0.3257431183197761,0.5352946446133108,0.5276626534083915,0.3257431183197761,0.4315842955584519,-0.007456195189972321,-0.5232813468014408
stackexchange,0.2936368420471825,0.31179007020038607,0.5272495193809783,0.509172220910322,0.31179007020038607,0.4164380669823393,-0.02373475132926226,-0.654931720329309
wikipedia,0.31031639390132093,0.3317628922494431,0.5403317608036251,0.5361972511275503,0.3317628922494431,0.4409633254088893,-0.00043312560536364064,-0.49175510183307336
