family,gap_log,gap_pct,T_catch_months,T_catch_label
qwen,0.0,0.0,,永不(增速不足)
other,0.028907689382614437,2.932957204112019,5.657801127222789,6 个月
phi,0.07672212164791203,7.974199777483348,,永不(增速不足)
mistral,0.12468006800092477,13.278598060334934,136.5910645533264,11.4 年
llama,0.3468282696022003,41.45737791925861,,永不(增速不足)
gemma,0.6924341292921888,99.85744057857706,,永不(增速不足)
yi,1.2231448775949425,239.78567920828144,,永不(增速不足)
