domain,Q_weighted,Q_topsis,conflict_mean,rank_shift_resolve,rank_shift_weight,score_shift_resolve,score_shift_weight
book,0.6310737918003736,0.6850789310947618,0.2745251224054523,0,0,0.054005139294388216,0.006111935079870179
arxiv,0.4855356351310811,0.473684756183178,0.2233761546245336,0,0,0.011850878947903098,0.00018679568572432803
c4,0.4292424183605974,0.3138097379836455,0.4214705468282844,0,0,0.11543268037695192,0.0014665167654543954
commoncrawl,0.4079750922207132,0.3071091799190977,0.3242913679141413,0,0,0.10086591230161551,0.004598617610655775
github,0.3858910191302275,0.2754586358706218,0.1237536827710577,0,0,0.1104323832596057,0.0027345572979647903
wikipedia,0.364512402480831,0.254773280938171,0.1663422155753433,0,0,0.10973912154266002,0.007284931138739403
stackexchange,0.3390263651998259,0.2507809293905483,0.1803686127666915,0,0,0.08824543580927757,0.006608846384359601
