k,Qstar_high_conf,Qstar_all,Qstar_base_conf
0,0.30696109204014227,0.3160141425130679,0.013952776910915557
2,0.3138378329739297,0.3221234388310061,0.013952776910915557
4,0.3251355272180598,0.33640442691913985,0.013952776910915557
6,0.33909655616635176,0.35086295992644095,0.013952776910915557
8,0.34963429403177587,0.35729954729184904,0.013952776910915557
10,0.35829264453254417,0.36085061859940865,0.013952776910915557
