bucket,quarter,n_open,n_closed,median_open,median_closed,med_ratio
0.3-1B,8099,41,12,5.999886320692095,6.4780423964678135,0.9261881836345444
0.3-1B,8100,48,162,6.885863252890074,7.696819743993845,0.8946374583169113
1-3B,8098,45,19,7.485804130315127,9.458167591621253,0.7914645260617509
1-3B,8099,87,23,13.852701161320264,12.23422955589429,1.1322904395435522
1-3B,8100,120,72,12.353296024894277,11.566380629617559,1.068034713751482
1-3B,8101,43,21,13.533997252162251,12.977293713777764,1.042898276841299
3-10B,8098,363,94,19.64617077795868,19.45372536481716,1.0098924709551809
3-10B,8099,405,293,21.41440427176671,21.365276481870684,1.0022994221459158
3-10B,8100,375,678,23.29151402275458,23.942480947092363,0.9728112167750587
3-10B,8101,47,102,22.644667648469397,22.13834231227539,1.0228709687948612
10-30B,8098,102,39,20.338377671076202,15.041296989515962,1.3521691437415533
10-30B,8099,172,122,23.82545959501345,28.882319005191285,0.8249150489173352
10-30B,8100,315,266,34.658891352635635,36.19736106398395,0.9574977383398516
10-30B,8101,57,64,39.70707475125064,37.03116526028664,1.0722610123704026
30-100B,8098,88,30,27.300024033587093,30.990831894934416,0.8809064605345234
30-100B,8099,44,40,36.95875527760478,37.710035669297156,0.9800774414991059
30-100B,8100,54,12,41.54917837533554,45.7000081488044,0.9091722312181371
