C,N,D,Q,L_ctx_opt,L_loss,s_train,s_Q,s_attn
1e+19,0.13993108482788388,1.7022189894376825,0.7590699355500412,125173.76050232217,3.6284712210426724,0.14291600988398345,0.2607728436771749,0.5963111464388419
1e+22,2.614956085974065,112.21928737693142,0.9999999999999999,131071.99999999996,2.274039010680705,0.17606910509398763,0.05467323681004096,0.7692576580959714
1e+24,23.410284706453925,1317.4878617660233,1.0,131071.99999999996,1.9561267572765342,0.18505659564743893,0.006418800862524067,0.808524603490037
