domain,n,mean,sd,p25,p75
arxiv,16419,0.3354091732904676,0.0619164593179763,0.2905065698919965,0.36528302888277175
book,171,0.49901783570064456,0.05815865897747459,0.5043963566316477,0.5248627897986912
c4,10000,0.2883941367774901,0.029438160134553176,0.2693694243916056,0.2998451118241242
commoncrawl,9640,0.26357056788814026,0.032801224871874674,0.24426212423563204,0.2757908010211543
github,25000,0.30027765457043565,0.03801387499023106,0.2749726806381255,0.318791615129199
stackexchange,10000,0.2936368420471825,0.03586990307600447,0.2677942599686959,0.31451417216937605
wikipedia,10000,0.31031639390132093,0.035587953974930114,0.2873256744535057,0.3284951742352743
