,TOPSIS(消解后),SAW(消解后),熵-CRITIC(消解后),CRITIC-only(消解后),GRA(消解后),RSR(消解后),PROMETHEE-II(消解后),VIKOR(消解后)
arxiv,-0.13961455724878824,0.4776254457274492,0.4776254457274492,0.540600928054137,0.5705884798393478,39346.72406206225,0.005417475305270158,-0.458155549857855
book,-0.08311624496328515,0.5726302246599964,0.5726302246599964,0.596764504062671,0.6152438092308011,41130.680555555555,0.19343567437073428,-0.0
c4,-0.08483392557016255,0.5753597509100573,0.5753597509100573,0.6186708042764175,0.6529939941397893,44689.80953125,-0.023846457744534172,-0.8343472034238045
commoncrawl,-0.08868335915443061,0.5560970436300957,0.5560970436300957,0.592238323156111,0.610693394410993,41722.344229771785,-0.014704196104113769,-0.8264722074757931
github,-0.09104499088274283,0.5311015564251159,0.5311015564251159,0.558109076603233,0.5905742560082538,42000.03841,-0.02857138652892225,-0.7638275291857687
stackexchange,-0.10216097144739895,0.4685131059007902,0.4685131059007902,0.5001485654762541,0.5563012122775065,34924.98550625,-0.07712265763600228,-1.0
wikipedia,-0.09784546270706485,0.4972724210342632,0.4972724210342632,0.5265632197756316,0.5736808116958331,40185.13413125,-0.054608451662431994,-0.9149483974268312
