form,C_act_Q52,C_sat_Q88,band_decades
exp,1.602840027414992e+18,5.305847467889446e+19,1.5198645813116691
power,5.346903405343505e+18,4.969276150532319e+19,0.9681907934369569
log,1.3405182387914783e+18,3.22916999994389e+18,0.38181818181817917
