framework,max_coef_rel_dev,kappa,norm_1M,norm_60M,norm_1B
sklearn-auto,0.0,0.3140306264112582,16.44873153383244,8.841126388904359,1.7218294935425649
sklearn-lsqr,8.609777231191689e-10,0.314030626411275,16.448731533834383,8.841126388904817,1.721829493542565
numpy-closed,8.631588026918325e-14,0.3140306264112583,16.448731533832444,8.84112638890436,1.7218294935425649
scipy-TRF,8.165538575408145e-06,0.31403062618714767,16.448731533515065,8.841126387819958,1.721829496406539
torch-Adam,7.5315123932841924e-06,0.3140306264443883,16.448731531565414,8.841126400520267,1.721829492551074
