param,b67,b8,delta
E,1.6396839267703547,6.550384243618092e-07,-1.6396832717319303
A,0.40394596478669254,1.4655925146725621,1.0616465498858696
a,0.3054960764042083,0.13971492222020876,-0.16578115418399952
B,1.3228095407006433,0.8574426141251521,-0.46536692657549117
b,0.2920839076580176,0.12428399727756682,-0.16779991038045078
C,0.35631433576271077,1.0000000000000002e-06,-0.3563133357627108
g,0.9912297150999083,9.995296485655627,9.004066770555719
h,0.1627368836868693,0.8598669608475831,0.6971300771607137
