C,form,n_success,L_best,L_median,L_worst,spread_pct,in1pct_frac,L_solve_opt
1e+19,power,15,3.287052166111762,3.2870521661117635,3.2870521661119922,6.998313354255144e-12,1.0,3.287052166111762
1e+22,power,13,2.1476603732774278,2.147660373277428,2.1476603732774744,2.171170433391106e-12,1.0,2.1476603732774278
1e+24,power,17,1.89093571547246,1.8909357154724602,1.8909357154724633,1.761386728603455e-13,1.0,1.89093571547246
