Q_topsis,Q_pca_ae,Q_mlp_ae,conflict
0.2310586213579825,0.6969749547244524,0.6474642697403123,0.0882192925356412
0.5836389722699251,0.29030016940838066,0.5487980795391352,0.3097157796892244
0.27978468076778634,0.7755231655480012,0.7584338374863195,0.23459002928696293
0.6443073899195566,0.0,0.3659258872873039,0.11347720109706427
0.3422268673633152,0.6246593618159841,0.8723643483950112,0.24369440002064846
0.5034970576005986,0.8234552568445276,0.6771805210966442,0.22429685000131228
0.3296821475197463,0.8426591742439848,0.9547890469239412,0.23247295613019042
0.4092711479825328,0.7799674776623278,0.8834782877887083,0.15120561768134722
0.5239286458094993,0.8498384216740533,0.8876340129606863,0.21776101945826887
0.6094488976579998,0.46749582925744604,0.6885317634909323,0.2680093562894476
0.27908369116222376,0.7865504404233967,0.6777689938417493,0.24756164307442063
0.4371136065947872,0.652369047774388,0.8152386971776265,0.1930138748410093
0.2917596148697432,0.7388863588331274,0.7515899341013893,0.2609612970622977
0.3314175091135312,0.8194582271375024,0.8652445301199992,0.26267556769532957
0.6790605071792419,0.6436703988464139,0.36556584383163593,0.20456091800374576
0.6895736691402,0.2910557499023033,0.500721819099742,0.3006758606455732
0.47046315856116017,0.866599782906722,0.8994585426753513,0.2090344922570444
0.31210579665323146,0.8505098971356136,0.831352978897756,0.23134020809837552
0.3548128018890671,0.4849335757229275,0.7032190697839589,0.13486204313356787
0.36959199089354966,0.7728085797566291,0.8923973230341261,0.19433346272369928
0.4787204349167316,0.00546770542135433,0.43423265890656737,0.013165333872977136
0.39624847919251294,0.7662704828841744,0.8660898068419867,0.1952214273784797
0.2651373250815946,0.8227669071849263,0.6205476204975131,0.2479258459603359
0.43327727771286484,0.6498632457947615,0.7144153154200205,0.2067005258804973
0.3989184067087615,0.8936534082115005,0.8755958841216799,0.13522989256993428
0.6821848872557665,0.1511783110828916,0.2593789140864191,0.2950294997437105
0.3456292551961649,0.628626150234119,0.7689433441584097,0.2657442589131841
0.49042044304407245,0.8693594544244263,0.8889405873046246,0.3361344500024833
0.6880289710223257,0.3638797645973679,0.18439276991664977,0.2589879164121136
0.46044205022901247,0.7849991131289843,0.945626117958675,0.2585983730944861
0.6274611785274955,0.6379555833751047,0.5782173478442854,0.27384494229888984
0.39522357933175284,0.6661989703990763,0.8358293792587471,0.24512967314220024
0.3409885563029062,0.895851109230249,0.8682374965021034,0.2707976008953818
0.4215594352566313,0.8312666661393976,0.8358342368676941,0.24088249807796663
0.4767001242250136,0.8153080704659523,0.8300388009462657,0.15970638424465639
0.4801120875975671,0.9521795553491588,0.7845782870967013,0.19430925436414948
0.680519573149614,0.4455597849288303,0.25800180825867247,0.24454466408889897
0.6143984695725422,0.6812996101424029,0.3804985044135383,0.24320840550032774
0.5036799081223361,0.9137232623392443,0.8875294492035182,0.32492554785288036
0.37219191309662203,0.6958027112521921,0.8486133812788825,0.1623638814086284
0.4228566312050754,0.8503631276152833,0.9294543589332328,0.2711511740247445
0.3581997617715265,0.7202070547894329,0.9136188293200476,0.24928121891161759
0.3627676522456654,0.6042671573918179,0.8437064317494735,0.2467036890084287
0.5316087316781263,0.5189578638698682,0.6210961952369215,0.0735225977652666
0.35010347073327847,0.5662570299459061,0.8670850846799547,0.20666615552904577
0.6546473019502717,0.38011303157846865,0.5141338195266854,0.20975635803327863
0.4369368103056662,0.541954420440997,0.6758215668264584,0.2523986148578974
0.4481929208153076,0.8659470750713335,0.8596720834365426,0.26464484915510544
0.35802915889559944,0.7240739795630442,0.9422165990390436,0.27054234836543073
0.5892452260996138,0.613051115583862,0.6669490927322477,0.30597249825740724
0.4261963546171559,0.7430435065499184,0.9320589749494922,0.2718891688056885
0.4292085137684179,0.7779928527773231,0.8599579865175342,0.2722568752594177
0.39747280564941656,0.8759637455100534,0.908029000331404,0.2974312162866788
0.2818386730828471,0.7148466631666139,0.7975858037630283,0.1961471478668806
0.3734888769579969,0.7279779509859949,0.8021080392411185,0.16911956662059424
0.3996020312225129,0.9484772082220331,0.9323009027594799,0.22918858673706388
