framework,pinball,c0,bN,bT,scale_share_mean,scale_share_agg,share_growthacc
LP,135.95035246242486,2.4806692634076675,0.3643152249826736,0.0890448564867425,14.342399673979315,1.047667793396295,0.8365559233018346
statsmodels,135.95035303442972,2.4806723900437655,0.3643156368072228,0.08904287142847864,14.342415886731004,1.0476689776874997,0.8365591259667805
sklearn,135.95035246242486,2.480669263407668,0.36431522498267377,0.08904485648674187,14.342399673979322,1.0476677933962952,0.8365559233018357
L-BFGS-B,135.9503542799361,2.4806994050224014,0.36433120151478243,0.08902046051628783,14.343028639757291,1.0477137373947687,0.836599380247885
Adam,135.95221269424002,2.4807724558339936,0.36424901383208436,0.08877384208691792,14.339793066515488,1.0474773888090605,0.8369474759795971
