,0.3-1B,1-3B,3-10B,10-30B,30-100B
IFEval,0.7028334136051655,0.9290428754846499,0.28398719082497614,0.48880932772391505,-0.02827876860273071
BBH,0.23137499854773885,-0.21436179382301385,0.06080206202913522,0.4152712088832575,0.18947396282375115
MATH,1.264900494992569,2.5204979034676036,1.8671790293441644,2.4511864995572616,1.1254960085678456
GPQA,0.558832954787235,1.0520171403936036,0.015494343623696328,1.27116805361633,0.7108790288986193
MUSR,-0.7194346140763287,-0.15694814843875732,0.047441820131891146,0.5818296670029834,0.30249149640873874
MMLU-PRO,0.44477805334712495,0.3763523776861405,0.26813655345142323,0.7314481736915428,0.20182325463735057
