C,L,N,D,Q
1e+17,4.805843293169472,0.02097323700389567,0.6991994973758671,0.4
1.2589254117941714e+17,4.704926605886451,0.023632034244576217,0.7812058101813433,0.4
1.584893192461111e+17,4.6073420067280875,0.026626812033075646,0.872865642993024,0.4000000000000001
1.995262314968883e+17,4.512978382499081,0.029999848498587087,0.9753208544445232,0.4
2.511886431509572e+17,4.421728329955369,0.03379871961860127,1.0898489837220677,0.4
3.1622776601683795e+17,4.333488031893481,0.03807695414065298,1.2178796423993232,0.4000000000000001
3.9810717055349856e+17,4.248157137378321,0.04289477521672071,1.3610126934203481,0.4
5.011872336272715e+17,4.165638645971063,0.04831991897368645,1.5210390873557178,0.4
6.309573444801943e+17,4.085838795823604,0.05442858224921044,1.6999633169852877,0.4
7.943282347242789e+17,4.008666955510449,0.06130646621916988,1.9000292571738,0.4
1e+18,3.934035519473129,0.0690499426198996,2.123749305946941,0.4
1.2589254117941714e+18,3.8618598069565824,0.07776738336340931,2.373936431935269,0.4
1.5848931924611108e+18,3.7920579643207954,0.08758064632458092,2.653740338929406,0.4000000000000001
1.995262314968883e+18,3.724550870614998,0.09862671415406006,2.9666889059229336,0.4000000000000001
2.511886431509572e+18,3.6592620463054732,0.11105959249611431,3.316732881829054,0.4
3.1622776601683794e+18,3.5960743010268246,0.12667581006644635,3.6242436798813333,0.40663526895270163
3.9810717055349857e+18,3.5337476384407003,0.15082830580618806,3.6701708482269093,0.43809589044171143
5.011872336272715e+18,3.471877088176752,0.1788010569861723,3.74727136469096,0.4710598852982356
6.309573444801943e+18,3.4105824771979987,0.21147959465838498,3.8429168178281174,0.505991169792122
7.943282347242789e+18,3.349924285933794,0.24994729244744127,3.947497634647675,0.5433469703696527
1e+19,3.2899187444570246,0.2955690681423217,4.052451271386975,0.583623510630008
1.2589254117941713e+19,3.2305459691373066,0.35010457684431434,4.149197039182757,0.6273966112670238
1.5848931924611109e+19,3.1717536127014343,0.4158745187383676,4.228431333527867,0.675370400056375
1.9952623149688828e+19,3.1134567522379957,0.49602251251606316,4.279497378395701,0.7284510050280446
