qtr,n,n_open,S_all,S_open,ratio
2024-Q2,443,344,44.39894388647036,38.69613307300818,0.8715552597817535
2024-Q3,839,575,51.23132307602696,51.23132307602696,1.0
2024-Q4,1377,766,52.08138397879168,47.464376408361055,0.9113501366954699
2025-Q1,1902,808,47.21693789116021,47.21693789116021,1.0
